drug_name,side_effect
metronidazole,heartburn
metronidazole,rash
metronidazole,low blood sugar
nitrofurantoin,blurred vision
nitrofurantoin,itching
nitrofurantoin,nausea
nitrofurantoin,bruising
nitrofurantoin,bleeding
nitrofurantoin,abdominal pain
nitrofurantoin,weight gain
nitrofurantoin,constipation
fluconazole,abdominal pain
fluconazole,blurred vision
fluconazole,joint pain
fluconazole,low blood pressure
fluconazole,weakness
fluconazole,weight loss
fluconazole,stomach pain
fluconazole,nausea
itraconazole,constipation
itraconazole,fatigue
itraconazole,blurred vision
itraconazole,abdominal pain
itraconazole,palpitations
itraconazole,cough
itraconazole,insomnia
itraconazole,joint pain
ketoconazole,high blood sugar
ketoconazole,drowsiness
ketoconazole,fatigue
ketoconazole,muscle pain
ketoconazole,weight loss
ketoconazole,abdominal pain
ketoconazole,sweating
ketoconazole,low blood pressure
terbinafine,stomach pain
terbinafine,heartburn
terbinafine,weakness
terbinafine,low blood sugar
terbinafine,high blood sugar
terbinafine,blurred vision
terbinafine,low blood pressure
terbinafine,bleeding
acyclovir,rash
acyclovir,cough
acyclovir,dizziness
acyclovir,diarrhea
acyclovir,low blood pressure
acyclovir,dry mouth
acyclovir,drowsiness
acyclovir,vomiting
valacyclovir,weakness
valacyclovir,abdominal pain
valacyclovir,drowsiness
valacyclovir,allergic reaction
valacyclovir,cough
valacyclovir,rash
valacyclovir,high blood pressure
valacyclovir,bruising
famciclovir,rash
famciclovir,high blood pressure
famciclovir,insomnia
famciclovir,itching
famciclovir,vomiting
famciclovir,weight loss
famciclovir,sweating
famciclovir,abdominal pain
oseltamivir,weakness
oseltamivir,muscle pain
oseltamivir,headache
oseltamivir,fatigue
oseltamivir,high blood sugar
oseltamivir,joint pain
oseltamivir,confusion
oseltamivir,heartburn
albuterol,diarrhea
albuterol,weight loss
albuterol,shortness of breath
albuterol,headache
albuterol,rash
albuterol,cough
albuterol,allergic reaction
albuterol,tremors
levalbuterol,cough
levalbuterol,confusion
levalbuterol,weight loss
levalbuterol,dry mouth
levalbuterol,itching
levalbuterol,rash
levalbuterol,swelling
levalbuterol,insomnia
salmeterol,bleeding
salmeterol,high blood sugar
salmeterol,weight loss
salmeterol,insomnia
salmeterol,nausea
salmeterol,high blood pressure
salmeterol,cough
salmeterol,dry mouth
formoterol,low blood pressure
formoterol,dry mouth
formoterol,bleeding
formoterol,weight loss
formoterol,confusion
formoterol,abdominal pain
formoterol,blurred vision
formoterol,weight gain
tiotropium,blurred vision
tiotropium,heartburn
tiotropium,stomach pain
tiotropium,dizziness
tiotropium,insomnia
tiotropium,itching
tiotropium,high blood pressure
tiotropium,diarrhea
ipratropium,bleeding
ipratropium,high blood sugar
ipratropium,weight gain
ipratropium,diarrhea
ipratropium,vomiting
ipratropium,shortness of breath
ipratropium,stomach pain
ipratropium,low blood sugar
montelukast,shortness of breath
montelukast,high blood sugar
montelukast,abdominal pain
montelukast,constipation
montelukast,weakness
montelukast,sweating
montelukast,bleeding
montelukast,rash
theophylline,dizziness
theophylline,vomiting
theophylline,stomach pain
theophylline,headache
theophylline,heartburn
theophylline,high blood sugar
theophylline,bleeding
theophylline,dry mouth
budesonide,palpitations
budesonide,drowsiness
budesonide,allergic reaction
budesonide,stomach pain
budesonide,confusion
budesonide,insomnia
budesonide,cough
budesonide,weakness
fluticasone,sweating
fluticasone,drowsiness
fluticasone,shortness of breath
fluticasone,tremors
fluticasone,bleeding
fluticasone,confusion
fluticasone,allergic reaction
fluticasone,stomach pain
beclomethasone,sweating
beclomethasone,high blood sugar
beclomethasone,high blood pressure
beclomethasone,itching
beclomethasone,palpitations
beclomethasone,dizziness
beclomethasone,cough
beclomethasone,weight loss
prednisone,dry mouth
prednisone,shortness of breath
prednisone,joint pain
prednisone,diarrhea
prednisone,heartburn
prednisone,abdominal pain
prednisone,rash
prednisone,low blood pressure
prednisolone,tremors
prednisolone,shortness of breath
prednisolone,weakness
prednisolone,drowsiness
prednisolone,blurred vision
prednisolone,high blood pressure
prednisolone,dizziness
prednisolone,constipation
methylprednisolone,weight gain
methylprednisolone,constipation
methylprednisolone,joint pain
methylprednisolone,bleeding
methylprednisolone,tremors
methylprednisolone,sweating
methylprednisolone,palpitations
methylprednisolone,muscle pain
dexamethasone,heartburn
dexamethasone,sweating
dexamethasone,blurred vision
dexamethasone,joint pain
dexamethasone,dizziness
dexamethasone,rash
dexamethasone,insomnia
dexamethasone,palpitations
hydrocortisone,fatigue
hydrocortisone,joint pain
hydrocortisone,swelling
hydrocortisone,abdominal pain
hydrocortisone,allergic reaction
hydrocortisone,headache
hydrocortisone,low blood sugar
hydrocortisone,cough
levothyroxine,constipation
levothyroxine,palpitations
levothyroxine,sweating
levothyroxine,cough
levothyroxine,shortness of breath
levothyroxine,bruising
levothyroxine,weight gain
levothyroxine,swelling
methimazole,shortness of breath
methimazole,nausea
methimazole,diarrhea
methimazole,allergic reaction
methimazole,stomach pain
methimazole,fatigue
methimazole,cough
methimazole,weight loss
propylthiouracil,bruising
propylthiouracil,confusion
propylthiouracil,high blood sugar
propylthiouracil,joint pain
propylthiouracil,bleeding
propylthiouracil,vomiting
propylthiouracil,stomach pain
propylthiouracil,dry mouth
sertraline,allergic reaction
sertraline,diarrhea
sertraline,vomiting
sertraline,constipation
sertraline,nausea
sertraline,palpitations
sertraline,insomnia
sertraline,fatigue
escitalopram,heartburn
escitalopram,weight gain
escitalopram,muscle pain
escitalopram,allergic reaction
escitalopram,itching
escitalopram,palpitations
escitalopram,fatigue
escitalopram,low blood pressure
fluoxetine,dizziness
fluoxetine,itching
fluoxetine,joint pain
fluoxetine,high blood pressure
fluoxetine,abdominal pain
fluoxetine,stomach pain
fluoxetine,nausea
fluoxetine,blurred vision
paroxetine,dry mouth
paroxetine,fatigue
paroxetine,bleeding
paroxetine,heartburn
paroxetine,diarrhea
paroxetine,shortness of breath
paroxetine,stomach pain
paroxetine,bruising
citalopram,tremors
citalopram,blurred vision
citalopram,sweating
citalopram,nausea
citalopram,vomiting
citalopram,shortness of breath
citalopram,confusion
citalopram,weight loss
venlafaxine,muscle pain
venlafaxine,bleeding
venlafaxine,low blood sugar
venlafaxine,dry mouth
venlafaxine,abdominal pain
venlafaxine,weight gain
venlafaxine,nausea
venlafaxine,vomiting
duloxetine,constipation
duloxetine,vomiting
duloxetine,blurred vision
duloxetine,insomnia
duloxetine,headache
duloxetine,abdominal pain
duloxetine,weight gain
duloxetine,weakness
bupropion,heartburn
bupropion,nausea
bupropion,rash
bupropion,fatigue
bupropion,itching
bupropion,weight loss
bupropion,sweating
bupropion,cough
mirtazapine,high blood sugar
mirtazapine,confusion
mirtazapine,insomnia
mirtazapine,cough
mirtazapine,diarrhea
mirtazapine,fatigue
mirtazapine,shortness of breath
mirtazapine,vomiting
trazodone,high blood pressure
trazodone,nausea
trazodone,weakness
trazodone,bruising
trazodone,joint pain
trazodone,low blood pressure
trazodone,allergic reaction
trazodone,diarrhea
amitriptyline,bleeding
amitriptyline,insomnia
amitriptyline,allergic reaction
amitriptyline,heartburn
amitriptyline,dizziness
amitriptyline,headache
amitriptyline,shortness of breath
amitriptyline,vomiting
nortriptyline,headache
nortriptyline,swelling
nortriptyline,sweating
nortriptyline,constipation
nortriptyline,dizziness
nortriptyline,shortness of breath
nortriptyline,tremors
nortriptyline,weight gain
imipramine,bruising
imipramine,weight gain
imipramine,sweating
imipramine,palpitations
imipramine,shortness of breath
imipramine,low blood pressure
imipramine,bleeding
imipramine,heartburn
clomipramine,abdominal pain
clomipramine,high blood sugar
clomipramine,nausea
clomipramine,drowsiness
clomipramine,dizziness
clomipramine,bleeding
clomipramine,headache
clomipramine,confusion
buspirone,rash
buspirone,drowsiness
buspirone,shortness of breath
buspirone,weight loss
buspirone,bleeding
buspirone,low blood sugar
buspirone,weight gain
buspirone,cough
hydroxyzine,dry mouth
hydroxyzine,weakness
hydroxyzine,high blood pressure
hydroxyzine,high blood sugar
hydroxyzine,confusion
hydroxyzine,sweating
hydroxyzine,muscle pain
hydroxyzine,nausea
alprazolam,vomiting
alprazolam,bruising
alprazolam,allergic reaction
alprazolam,cough
alprazolam,blurred vision
alprazolam,heartburn
alprazolam,rash
alprazolam,low blood sugar
lorazepam,stomach pain
lorazepam,drowsiness
lorazepam,fatigue
lorazepam,diarrhea
lorazepam,nausea
lorazepam,constipation
lorazepam,low blood pressure
lorazepam,cough
diazepam,drowsiness
diazepam,muscle pain
diazepam,fatigue
diazepam,vomiting
diazepam,nausea
diazepam,low blood sugar
diazepam,stomach pain
diazepam,weight gain
clonazepam,diarrhea
clonazepam,stomach pain
clonazepam,weight loss
clonazepam,weight gain
clonazepam,bruising
clonazepam,palpitations
clonazepam,weakness
clonazepam,insomnia
midazolam,rash
midazolam,stomach pain
midazolam,weakness
midazolam,heartburn
midazolam,headache
midazolam,low blood sugar
midazolam,low blood pressure
midazolam,constipation
temazepam,diarrhea
temazepam,weight loss
temazepam,abdominal pain
temazepam,palpitations
temazepam,dry mouth
temazepam,constipation
temazepam,stomach pain
temazepam,low blood pressure
zolpidem,itching
zolpidem,palpitations
zolpidem,shortness of breath
zolpidem,swelling
zolpidem,weight loss
zolpidem,dizziness
zolpidem,nausea
zolpidem,insomnia
eszopiclone,sweating
eszopiclone,palpitations
eszopiclone,constipation
eszopiclone,joint pain
eszopiclone,low blood pressure
eszopiclone,drowsiness
eszopiclone,weakness
eszopiclone,cough
haloperidol,high blood sugar
haloperidol,high blood pressure
haloperidol,palpitations
haloperidol,vomiting
haloperidol,blurred vision
haloperidol,itching
haloperidol,nausea
haloperidol,low blood pressure
risperidone,weight gain
risperidone,heartburn
risperidone,muscle pain
risperidone,high blood pressure
risperidone,high blood sugar
risperidone,vomiting
risperidone,tremors
risperidone,palpitations
olanzapine,itching
olanzapine,abdominal pain
olanzapine,palpitations
olanzapine,drowsiness
olanzapine,weight loss
olanzapine,nausea
olanzapine,sweating
olanzapine,heartburn
quetiapine,palpitations
quetiapine,constipation
quetiapine,nausea
quetiapine,muscle pain
quetiapine,dry mouth
quetiapine,weight gain
quetiapine,high blood pressure
quetiapine,low blood sugar
aripiprazole,insomnia
aripiprazole,low blood sugar
aripiprazole,muscle pain
aripiprazole,sweating
aripiprazole,palpitations
aripiprazole,abdominal pain
aripiprazole,fatigue
aripiprazole,confusion
ziprasidone,itching
ziprasidone,allergic reaction
ziprasidone,low blood sugar
ziprasidone,drowsiness
ziprasidone,constipation
ziprasidone,shortness of breath
ziprasidone,weakness
ziprasidone,diarrhea
clozapine,low blood sugar
clozapine,heartburn
clozapine,shortness of breath
clozapine,muscle pain
clozapine,constipation
clozapine,rash
clozapine,low blood pressure
clozapine,joint pain
lithium,abdominal pain
lithium,bruising
lithium,vomiting
lithium,joint pain
lithium,heartburn
lithium,fatigue
lithium,dizziness
lithium,itching
valproate,weight loss
valproate,high blood sugar
valproate,drowsiness
valproate,weakness
valproate,bleeding
valproate,shortness of breath
valproate,headache
valproate,allergic reaction
carbamazepine,dizziness
carbamazepine,diarrhea
carbamazepine,muscle pain
carbamazepine,shortness of breath
carbamazepine,sweating
carbamazepine,stomach pain
carbamazepine,bruising
carbamazepine,confusion
lamotrigine,bleeding
lamotrigine,shortness of breath
lamotrigine,drowsiness
lamotrigine,low blood pressure
lamotrigine,allergic reaction
lamotrigine,muscle pain
lamotrigine,weakness
lamotrigine,dizziness
levetiracetam,allergic reaction
levetiracetam,dizziness
levetiracetam,swelling
levetiracetam,low blood pressure
levetiracetam,shortness of breath
levetiracetam,bleeding
levetiracetam,muscle pain
levetiracetam,headache
phenytoin,high blood sugar
phenytoin,rash
phenytoin,tremors
phenytoin,cough
phenytoin,weakness
phenytoin,muscle pain
phenytoin,confusion
phenytoin,bleeding
topiramate,fatigue
topiramate,weight loss
topiramate,dry mouth
topiramate,shortness of breath
topiramate,cough
topiramate,sweating
topiramate,insomnia
topiramate,abdominal pain
gabapentin,dry mouth
gabapentin,shortness of breath
gabapentin,rash
gabapentin,sweating
gabapentin,high blood pressure
gabapentin,joint pain
gabapentin,constipation
gabapentin,abdominal pain
pregabalin,heartburn
pregabalin,rash
pregabalin,weakness
pregabalin,fatigue
pregabalin,stomach pain
pregabalin,blurred vision
pregabalin,low blood sugar
pregabalin,joint pain
sumatriptan,cough
sumatriptan,bruising
sumatriptan,tremors
sumatriptan,rash
sumatriptan,constipation
sumatriptan,shortness of breath
sumatriptan,high blood pressure
sumatriptan,dizziness
rizatriptan,itching
rizatriptan,weakness
rizatriptan,low blood pressure
rizatriptan,diarrhea
rizatriptan,nausea
rizatriptan,rash
rizatriptan,bruising
rizatriptan,blurred vision
zolmitriptan,bruising
zolmitriptan,allergic reaction
zolmitriptan,high blood sugar
zolmitriptan,palpitations
zolmitriptan,weight gain
zolmitriptan,nausea
zolmitriptan,stomach pain
zolmitriptan,dizziness
tramadol,blurred vision
tramadol,nausea
tramadol,dry mouth
tramadol,bruising
tramadol,muscle pain
tramadol,palpitations
tramadol,low blood pressure
tramadol,joint pain
morphine,confusion
morphine,allergic reaction
morphine,weight gain
morphine,insomnia
morphine,shortness of breath
morphine,constipation
morphine,high blood sugar
morphine,itching
oxycodone,shortness of breath
oxycodone,sweating
oxycodone,heartburn
oxycodone,confusion
oxycodone,headache
oxycodone,blurred vision
oxycodone,rash
oxycodone,muscle pain
hydrocodone,drowsiness
hydrocodone,sweating
hydrocodone,bruising
hydrocodone,high blood pressure
hydrocodone,allergic reaction
hydrocodone,nausea
hydrocodone,cough
hydrocodone,high blood sugar
fentanyl,confusion
fentanyl,weight gain
fentanyl,insomnia
fentanyl,shortness of breath
fentanyl,weakness
fentanyl,nausea
fentanyl,rash
fentanyl,weight loss
methadone,low blood sugar
methadone,heartburn
methadone,diarrhea
methadone,sweating
methadone,tremors
methadone,weight gain
methadone,abdominal pain
methadone,muscle pain
codeine,rash
codeine,weight gain
codeine,muscle pain
codeine,heartburn
codeine,bruising
codeine,palpitations
codeine,allergic reaction
codeine,tremors
buprenorphine,itching
buprenorphine,high blood pressure
buprenorphine,high blood sugar
buprenorphine,vomiting
buprenorphine,shortness of breath
buprenorphine,blurred vision
buprenorphine,confusion
buprenorphine,insomnia
naloxone,weight gain
naloxone,swelling
naloxone,confusion
naloxone,low blood pressure
naloxone,heartburn
naloxone,weight loss
naloxone,abdominal pain
naloxone,rash
naltrexone,high blood sugar
naltrexone,headache
naltrexone,muscle pain
naltrexone,constipation
naltrexone,dizziness
naltrexone,high blood pressure
naltrexone,rash
naltrexone,bleeding
rifampin,constipation
rifampin,nausea
rifampin,stomach pain
rifampin,confusion
rifampin,low blood pressure
rifampin,itching
rifampin,shortness of breath
rifampin,muscle pain
isoniazid,muscle pain
isoniazid,sweating
isoniazid,heartburn
isoniazid,allergic reaction
isoniazid,fatigue
isoniazid,joint pain
isoniazid,rash
isoniazid,weight gain
pyrazinamide,allergic reaction
pyrazinamide,blurred vision
pyrazinamide,low blood pressure
pyrazinamide,itching
pyrazinamide,abdominal pain
pyrazinamide,stomach pain
pyrazinamide,weakness
pyrazinamide,diarrhea
ethambutol,rash
ethambutol,high blood pressure
ethambutol,allergic reaction
ethambutol,fatigue
ethambutol,insomnia
ethambutol,swelling
ethambutol,shortness of breath
ethambutol,confusion
allopurinol,confusion
allopurinol,low blood pressure
allopurinol,palpitations
allopurinol,dizziness
allopurinol,weakness
allopurinol,weight loss
allopurinol,dry mouth
allopurinol,insomnia
colchicine,allergic reaction
colchicine,tremors
colchicine,weakness
colchicine,sweating
colchicine,itching
colchicine,swelling
colchicine,abdominal pain
colchicine,dry mouth
febuxostat,nausea
febuxostat,tremors
febuxostat,muscle pain
febuxostat,dry mouth
febuxostat,shortness of breath
febuxostat,fatigue
febuxostat,drowsiness
febuxostat,low blood sugar
tamsulosin,low blood sugar
tamsulosin,bruising
tamsulosin,abdominal pain
tamsulosin,joint pain
tamsulosin,stomach pain
tamsulosin,low blood pressure
tamsulosin,fatigue
tamsulosin,weight gain
finasteride,weakness
finasteride,constipation
finasteride,abdominal pain
finasteride,shortness of breath
finasteride,blurred vision
finasteride,stomach pain
finasteride,sweating
finasteride,confusion
dutasteride,muscle pain
dutasteride,nausea
dutasteride,weight gain
dutasteride,itching
dutasteride,high blood pressure
dutasteride,diarrhea
dutasteride,shortness of breath
dutasteride,fatigue
sildenafil,sweating
sildenafil,heartburn
sildenafil,fatigue
sildenafil,allergic reaction
sildenafil,abdominal pain
sildenafil,weakness
sildenafil,low blood sugar
sildenafil,insomnia
tadalafil,fatigue
tadalafil,itching
tadalafil,blurred vision
tadalafil,drowsiness
tadalafil,cough
tadalafil,bleeding
tadalafil,muscle pain
tadalafil,high blood pressure
cetirizine,abdominal pain
cetirizine,cough
cetirizine,rash
cetirizine,low blood sugar
cetirizine,muscle pain
cetirizine,heartburn
cetirizine,sweating
cetirizine,diarrhea
loratadine,bleeding
loratadine,headache
loratadine,weight gain
loratadine,sweating
loratadine,itching
loratadine,high blood sugar
loratadine,confusion
loratadine,stomach pain
